Notebook,ForLoops,RangeIters,MaxDepth
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046570.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046646.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046652.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1047080.ipynb,11,5,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1047532.ipynb,8,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1047587.ipynb,16,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1047986.ipynb,3,3,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1048857.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1050102.ipynb,6,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1050410.ipynb,2,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1050506.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1050807.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1051101.ipynb,4,3,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_105158.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1052094.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1052474.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1053100.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_105406.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1054080.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1054081.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1054306.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1054931.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1055071.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1055400.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1055901.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1056107.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1056395.ipynb,4,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1056478.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1056586.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1056827.ipynb,5,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1057064.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1057292.ipynb,9,5,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1057342.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1057787.ipynb,6,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1058446.ipynb,5,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_105886.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1059097.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1059151.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1059402.ipynb,3,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_105985.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1060107.ipynb,7,4,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1060294.ipynb,5,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1061663.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1061737.ipynb,5,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1061767.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1061823.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1062054.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1062234.ipynb,6,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_106247.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1062869.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1063260.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1063793.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1064357.ipynb,6,6,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1064422.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1065203.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1065518.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1066052.ipynb,3,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1066253.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_106657.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_106658.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1067150.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_106780.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_106841.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1068477.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1069170.ipynb,2,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1069487.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1069495.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1069528.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1069615.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1071477.ipynb,11,5,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1071583.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1071715.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1071810.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072181.ipynb,5,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072215.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072544.ipynb,21,0,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072822.ipynb,8,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072823.ipynb,8,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1072921.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1073124.ipynb,6,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1073247.ipynb,6,2,2
